Date : 2022-05-24 11:22:18
Directory : /Users/huwenjie/Documents/cenneo-os-project
Total : 493 files,  86065 codes, 36589 comments, 15695 blanks, all 138349 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C        |        444 |     84,382 |     36,206 |     15,215 |    135,803 |
| nasm     |         18 |        907 |        273 |        171 |      1,351 |
| Markdown |         20 |        437 |          0 |        154 |        591 |
| Makefile |          9 |        321 |         70 |        150 |        541 |
| C++      |          2 |         18 |         40 |          5 |         63 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                   | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                      |        493 |     86,065 |     36,589 |     15,695 |    138,349 |
| applications                                                                                           |          4 |        116 |         11 |         51 |        178 |
| applications/Console                                                                                   |          4 |        116 |         11 |         51 |        178 |
| docs                                                                                                   |         10 |        102 |          0 |         54 |        156 |
| docs/HowTo                                                                                             |          4 |         43 |          0 |         40 |         83 |
| docs/HowTo/CreateOS                                                                                    |          1 |          0 |          0 |          1 |          1 |
| docs/HowTo/ObtainInformation                                                                           |          1 |          0 |          0 |          1 |          1 |
| docs/HowTo/Run                                                                                         |          1 |         43 |          0 |         37 |         80 |
| docs/HowTo/TeamWork                                                                                    |          1 |          0 |          0 |          1 |          1 |
| docs/loader                                                                                            |          1 |          7 |          0 |          3 |         10 |
| image                                                                                                  |          1 |          8 |          0 |          5 |         13 |
| kernel                                                                                                 |        399 |     78,117 |     35,065 |     14,039 |    127,221 |
| kernel/Architectures                                                                                   |         37 |      1,773 |        646 |        490 |      2,909 |
| kernel/Architectures/x86                                                                               |         36 |      1,767 |        646 |        487 |      2,900 |
| kernel/Architectures/x86/CPU                                                                           |          2 |        137 |         57 |         26 |        220 |
| kernel/Architectures/x86/chips                                                                         |          3 |        155 |        116 |         45 |        316 |
| kernel/Architectures/x86/include                                                                       |         12 |        375 |        134 |        131 |        640 |
| kernel/Architectures/x86/interrupt                                                                     |          5 |        401 |         95 |         82 |        578 |
| kernel/Architectures/x86/mmu                                                                           |          4 |        273 |         77 |         99 |        449 |
| kernel/Architectures/x86/task                                                                          |          4 |         95 |         59 |         28 |        182 |
| kernel/Begin                                                                                           |          5 |        109 |         48 |         56 |        213 |
| kernel/Begin/Desktop                                                                                   |          1 |          7 |          9 |          5 |         21 |
| kernel/Begin/Embedded                                                                                  |          1 |          5 |          4 |          3 |         12 |
| kernel/Begin/Server                                                                                    |          1 |          8 |          6 |          7 |         21 |
| kernel/Console                                                                                         |          2 |        142 |         29 |         34 |        205 |
| kernel/Drivers                                                                                         |         14 |      2,208 |        769 |        616 |      3,593 |
| kernel/Drivers/acpi                                                                                    |          2 |         57 |         16 |         22 |         95 |
| kernel/Drivers/ide                                                                                     |          2 |        195 |         39 |         33 |        267 |
| kernel/Drivers/network                                                                                 |          2 |      1,119 |        483 |        343 |      1,945 |
| kernel/Drivers/network/rtl8139                                                                         |          2 |      1,119 |        483 |        343 |      1,945 |
| kernel/Drivers/pci                                                                                     |          3 |        417 |         70 |         87 |        574 |
| kernel/Drivers/virtio                                                                                  |          1 |         52 |         15 |         23 |         90 |
| kernel/FileSystem                                                                                      |          3 |        158 |         59 |         38 |        255 |
| kernel/FileSystem/fat32                                                                                |          2 |        151 |         43 |         33 |        227 |
| kernel/KernelMemory                                                                                    |          7 |        301 |        103 |         96 |        500 |
| kernel/LogMonitor                                                                                      |          1 |         49 |          7 |         17 |         73 |
| kernel/cpp                                                                                             |          1 |         14 |         32 |          3 |         49 |
| kernel/gui                                                                                             |         14 |      1,112 |        669 |        424 |      2,205 |
| kernel/gui/window                                                                                      |          7 |        705 |        426 |        286 |      1,417 |
| kernel/includes                                                                                        |        201 |     14,185 |     13,183 |      4,020 |     31,388 |
| kernel/includes/drivers                                                                                |          5 |        166 |        145 |         63 |        374 |
| kernel/includes/lib                                                                                    |          7 |        228 |        122 |         70 |        420 |
| kernel/includes/mpt                                                                                    |          2 |         80 |         24 |         39 |        143 |
| kernel/includes/network                                                                                |        160 |     13,027 |     12,601 |      3,560 |     29,188 |
| kernel/includes/network/arch                                                                           |          4 |         69 |         74 |         25 |        168 |
| kernel/includes/network/compat                                                                         |          5 |          5 |        153 |         15 |        173 |
| kernel/includes/network/compat/posix                                                                   |          4 |          4 |        123 |         12 |        139 |
| kernel/includes/network/compat/posix/arpa                                                              |          1 |          1 |         30 |          3 |         34 |
| kernel/includes/network/compat/posix/net                                                               |          1 |          1 |         33 |          3 |         37 |
| kernel/includes/network/compat/posix/sys                                                               |          1 |          1 |         30 |          3 |         34 |
| kernel/includes/network/compat/stdc                                                                    |          1 |          1 |         30 |          3 |         34 |
| kernel/includes/network/lwip                                                                           |        111 |     10,056 |      9,634 |      2,703 |     22,393 |
| kernel/includes/network/lwip/apps                                                                      |         31 |      1,635 |      1,935 |        594 |      4,164 |
